id,answer
1,1
2,2
3,6
4,1
5,5
6,1
7,2
8,4
9,7
10,6
11,9
12,3
13,5
14,9
15,8
16,8
17,4
18,5
19,4
20,3
21,7
22,0
23,6
24,0
25,4
26,2
27,2
28,1
29,4
30,9
31,4
32,2
33,6
34,5
35,5
36,7
37,8
38,8
39,2
40,8
41,8
42,8
43,9
44,5
45,7
46,0
47,4
48,6
49,5
50,5
51,4
52,7
53,6
54,9
55,6
56,7
57,6
58,6
59,5
60,4
61,9
62,1
63,4
64,9
65,9
66,8
67,8
68,9
69,9
70,4
71,8
72,9
73,8
74,8
75,6
76,7
77,3
78,8
79,5
80,3
81,1
82,5
83,6
84,6
85,7
86,6
87,3
88,9
89,6
90,5
91,2
92,9
93,7
94,6
95,9
96,5
97,5
98,2
99,7
100,5
