id,answer
1,1
2,7
3,6
4,1
5,4
6,1
7,4
8,6
9,7
10,0
11,9
12,4
13,5
14,9
15,0
16,0
17,4
18,5
19,9
20,3
21,7
22,0
23,4
24,0
25,4
26,4
27,0
28,1
29,4
30,9
31,4
32,4
33,6
34,5
35,6
36,1
37,9
38,4
39,3
40,8
41,8
42,8
43,3
44,0
45,7
46,8
47,4
48,6
49,5
50,3
51,5
52,5
53,4
54,5
55,6
56,7
57,6
58,4
59,5
60,4
61,4
62,6
63,4
64,3
65,7
66,8
67,5
68,9
69,7
70,4
71,5
72,9
73,6
74,4
75,4
76,6
77,3
78,8
79,5
80,3
81,8
82,5
83,6
84,6
85,7
86,6
87,3
88,9
89,6
90,5
91,7
92,6
93,3
94,6
95,9
96,9
97,5
98,2
99,7
100,8
