id,answer
0,1
1,7
2,0
3,1
4,7
5,1
6,4
7,6
8,7
9,0
10,9
11,1
12,5
13,9
14,6
15,2
16,4
17,5
18,4
19,4
20,0
21,3
22,6
23,5
24,4
25,8
26,4
27,2
28,2
29,9
30,9
31,2
32,9
33,5
34,6
35,7
36,6
37,8
38,1
39,9
40,8
41,8
42,6
43,9
44,9
45,8
46,4
47,6
48,6
49,0
50,9
51,4
52,5
53,8
54,7
55,3
56,3
57,5
58,7
59,5
60,8
61,1
62,1
63,5
64,5
65,6
66,5
67,2
68,8
69,8
70,4
71,7
72,4
73,4
74,7
75,1
76,8
77,3
78,8
79,0
80,4
81,2
82,7
83,8
84,1
85,7
86,7
87,7
88,6
89,3
90,5
91,3
92,6
93,8
94,7
95,6
96,1
97,9
98,1
99,2
